Record Type,Symbol,Grant Date,Settlement Type,Granted Qty.,Withheld Qty.,Vested Qty.,Unvested Qty.,Deferred / Pending Release Qty.,Sellable Qty.,Est. Market Value,Grant Number,Cancelled Qty.,Pending Sale Qty.,Blocked Qty.,Type,Class,Status,Vest Period,Vest Date,Deferred Until,Granted Qty.,Other Reason for cancelled qty,Cancelled Qty.,Date Cancelled,Vested Qty.,Released Qty,Released Amount,Sellable Qty.,Blocked Qty.,Blocked Share Qty.,Total Taxes Paid,Sellable Qty.,Pending Sale Qty.,Sellable Est. Market Value,Est. Cost Basis (per share):,Est. Taxable Gain/Loss (per share):,Tax Status,Shares Traded for taxes,Tax Status,Tax Description,Taxable Gain,Effective Tax Rate,Withholding Amount,Total Estimated Tax Withholding,Dividend,Dividend Record Date,Dividend Payable Date,Dividend Cancel Date,Dividend Release Date,Dividend Type,Dividend Per Share,Dividend Market Value,Dividend Cash,Dividend Share,Release Dividend Shares,Dividend Fractional Shares Remaining,Dividend Market Value at Release,Cash-in-Lieu,Blocked,Blocked Type,Release Date
Vest Schedule,,,,,0,,,,,,RU1420,,,,,,,4,04/01/2024,,938,,0,,938,938,$0.00 ,0,0,,"$9,063.00 ",,,,,,,477,Paid at Vest,,,,,,,,,,,,,,,,0,0,$19.00 ,$0.00 ,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,Federal-37,"$17,822.00 ",37%,"$6,607.13 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,OASDI,$0.00 ,6.2%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,Medicare,"$17,822.00 ",1.45%,$258.42 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,Medicare0,$0.00 ,0%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,Add.Medicare,"$17,822.00 ",0.9000000000000001%,$160.40 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,CA-State,"$17,822.00 ",10.23%,"$1,823.19 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,CA-SDI-Man,"$17,822.00 ",1.2%,$213.86 ,,,,,,,,,,,,,,,,,,
Vest Schedule,,,,,0,,,,,,RU1420,,,,,,,5,07/01/2024,,937,,0,,937,937,$0.00 ,0,0,,"$9,044.00 ",,,,,,,476,Paid at Vest,,,,,,,,,,,,,,,,0,0,$19.00 ,$0.00 ,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,Federal-37,"$17,803.00 ",37%,"$6,590.74 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,OASDI,$0.00 ,6.2%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,Medicare,"$17,803.00 ",1.45%,$258.14 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,Medicare0,$0.00 ,0%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,Add.Medicare,"$17,803.00 ",0.9000000000000001%,$160.23 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,CA-State,"$17,803.00 ",10.23%,"$1,821.25 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,CA-SDI-Man,"$17,803.00 ",1.2%,$213.64 ,,,,,,,,,,,,,,,,,,
Vest Schedule,,,,,0,,,,,,RU1420,,,,,,,6,10/01/2024,,938,,0,,938,938,$0.00 ,0,0,,"$9,063.00 ",,,,,,,477,Paid at Vest,,,,,,,,,,,,,,,,0,0,$19.00 ,$0.00 ,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,Federal-37,"$17,822.00 ",37%,"$6,607.13 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,OASDI,$0.00 ,6.2%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,Medicare,"$17,822.00 ",1.45%,$258.42 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,Medicare0,$0.00 ,0%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,Add.Medicare,"$17,822.00 ",0.9000000000000001%,$160.40 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,CA-State,"$17,822.00 ",10.23%,"$1,823.19 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,CA-SDI-Man,"$17,822.00 ",1.2%,$213.86 ,,,,,,,,,,,,,,,,,,
Vest Schedule,,,,,0,,,,,,RU1420,,,,,,,7,01/01/2025,,937,,0,,937,937,$0.00 ,0,0,,"$9,044.00 ",,,,,,,476,Paid at Vest,,,,,,,,,,,,,,,,0,0,$19.00 ,$0.00 ,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,Federal-37,"$17,803.00 ",37%,"$6,590.74 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,OASDI,$0.00 ,6.2%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,Medicare,"$17,803.00 ",1.45%,$258.14 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,Medicare0,$0.00 ,0%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,Add.Medicare,"$17,803.00 ",0.9000000000000001%,$160.23 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,CA-State,"$17,803.00 ",10.23%,"$1,821.25 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,CA-SDI-Man,"$17,803.00 ",1.2%,$213.64 ,,,,,,,,,,,,,,,,,,
Vest Schedule,,,,,0,,,,,,RU1420,,,,,,,8,04/01/2025,,938,,0,,938,938,$0.00 ,0,0,,"$9,063.00 ",,,,,,,477,Paid at Vest,,,,,,,,,,,,,,,,0,0,$19.00 ,$0.00 ,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,Federal-37,"$17,822.00 ",37%,"$6,607.13 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,OASDI,$0.00 ,6.2%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,Medicare,"$17,822.00 ",1.45%,$258.42 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,Medicare0,$0.00 ,0%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,Add.Medicare,"$17,822.00 ",0.9000000000000001%,$160.40 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,CA-State,"$17,822.00 ",10.23%,"$1,823.19 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,CA-SDI-Man,"$17,822.00 ",1.2%,$213.86 ,,,,,,,,,,,,,,,,,,
Vest Schedule,,,,,0,,,,,,RU1420,,,,,,,9,07/01/2025,,937,,0,,937,937,$0.00 ,0,0,,"$9,044.00 ",,,,,,,476,Paid at Vest,,,,,,,,,,,,,,,,0,0,$19.00 ,$0.00 ,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,Federal-37,"$17,803.00 ",37%,"$6,590.74 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,OASDI,$0.00 ,6.2%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,Medicare,"$17,803.00 ",1.45%,$258.14 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,Medicare0,$0.00 ,0%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,Add.Medicare,"$17,803.00 ",0.9000000000000001%,$160.23 ,,,,,,,,,,,,,,,,,,
