Record Type,Symbol,Grant Date,Settlement Type,Granted Qty.,Withheld Qty.,Vested Qty.,Unvested Qty.,Deferred / Pending Release Qty.,Sellable Qty.,Est. Market Value,Grant Number,Cancelled Qty.,Pending Sale Qty.,Blocked Qty.,Type,Class,Status,Vest Period,Vest Date,Deferred Until,Granted Qty.,Other Reason for cancelled qty,Cancelled Qty.,Date Cancelled,Vested Qty.,Released Qty,Released Amount,Sellable Qty.,Blocked Qty.,Blocked Share Qty.,Total Taxes Paid,Sellable Qty.,Pending Sale Qty.,Sellable Est. Market Value,Est. Cost Basis (per share):,Est. Taxable Gain/Loss (per share):,Tax Status,Shares Traded for taxes,Tax Status,Tax Description,Taxable Gain,Effective Tax Rate,Withholding Amount,Total Estimated Tax Withholding,Dividend,Dividend Record Date,Dividend Payable Date,Dividend Cancel Date,Dividend Release Date,Dividend Type,Dividend Per Share,Dividend Market Value,Dividend Cash,Dividend Share,Release Dividend Shares,Dividend Fractional Shares Remaining,Dividend Market Value at Release,Cash-in-Lieu,Blocked,Blocked Type,Release Date
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,CA-State,"$17,803.00 ",10.23%,"$1,821.25 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,CA-SDI-Man,"$17,803.00 ",1.2%,$213.64 ,,,,,,,,,,,,,,,,,,
Vest Schedule,,,,,0,,,,,,RU1420,,,,,,,10,10/01/2025,,938,,0,,938,938,$0.00 ,0,0,,"$10,842.21 ",,,,,,,477,Paid at Vest,,,,,,,,,,,,,,,,0,0,$22.73 ,$0.00 ,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,Federal-37,"$21,320.74 ",37%,"$7,904.21 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,OASDI,$0.00 ,6.2%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,Medicare,"$21,320.74 ",1.45%,$309.15 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,Medicare0,$0.00 ,0%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,Add.Medicare,"$21,320.74 ",0.9000000000000001%,$191.89 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,CA-State,"$21,320.74 ",10.23%,"$2,181.11 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,CA-SDI-Man,"$21,320.74 ",1.2%,$255.85 ,,,,,,,,,,,,,,,,,,
