"Positions for account KriBrokerage ...237 as of 08:15 PM ET, 2026/08/11"

"Symbol","Description","Qty (Quantity)","Price","Price Chng $ (Price Change $)","Price Chng % (Price Change %)","Mkt Val (Market Value)","Day Chng $ (Day Change $)","Day Chng % (Day Change %)","Cost Basis","Gain $ (Gain/Loss $)","Gain % (Gain/Loss %)","Reinvest?","Reinvest Capital Gains?","% of Acct (% of Account)","Cost/Share","Asset Type",
"AAPL","APPLE INC","700","304.91","-3.35","-1.09%","$213,437.00","-$2,345.00","-1.09%","$31,259.64","$182,177.36","582.79%","No","N/A","73.86%","$44.66","Equity",
"NFLX","NETFLIX INC","720","74.79","-1.50","-1.97%","$53,848.80","-$1,080.00","-1.97%","$49,801.68","$4,047.12","8.13%","No","N/A","18.63%","$69.17","Equity",
"SCHR","SCHWAB INTERMEDIATE-TERMU.S. TREASURY ETF","21.9668","24.39","0.02","0.08%","$535.77","$0.44","0.08%","$539.83","-$4.06","-0.75%","Yes","N/A","0.19%","$24.57","ETFs & Closed End Funds",
"Cash & Cash Investments","--","--","--","--","--","$21,146.61","$0.00","0%","--","--","--","--","--","7.32%","--","Cash and Money Market",
"Positions Total","","--","--","--","--","$288,968.18","-$3,424.56","-1.19%","$81,601.15","$186,220.42","228.21%","--","--","--","--","--",
